id_cliente,nombre,apellido,email,telefono,direccion,ciudad,pais,fecha_registro,segmento,id_producto,categoria,precio,costo,stock,proveedor,fecha_ingreso,activo,rating,id_venta,fecha,cantidad,precio_unitario,descuento,impuestos,metodo_pago,vendedor,total
95.0,Candela,Borrás,nicolaumonica@example.com,+34 973 835 884,"Acceso de Feliciano Vigil 21 Apt. 12 , Melilla, 02660",Almería,Eslovaquia,2024-05-28,Premium,,,,,,,,,0.0,,,,,,,,,
96.0,Victoriano,Salazar,riveroporfirio@example.org,+34 812 70 64 26,"Cuesta Candelas Codina 6, Tarragona, 29551",Ceuta,Botswana,2023-03-10,Básico,,,,,,,,,0.0,,,,,,,,,
97.0,Lilia,Bou,buenaventura41@example.com,+34 949 784 468,"Via de Martirio Rodriguez 81, Badajoz, 41197",Vizcaya,Nicaragua,2023-09-24,Standard,,,,,,,,,0.0,,,,,,,,,
98.0,Adora,Losa,ribasroldan@example.net,+34982 18 47 53,"Camino Ezequiel Bastida 56 Puerta 5 , Zamora, 18417",Huesca,Afganistán,2025-02-18,Standard,,,,,,,,,0.0,,,,,,,,,
99.0,Anastasia,Comas,corralsantiago@example.org,+34979 306 113,"Cuesta de Alcides Jaén 49, Cádiz, 29846",Badajoz,Libia,2023-11-22,Básico,,,,,,,,,0.0,,,,,,,,,
100.0,Américo,Llano,farco@example.net,+34 807829167,"Avenida de Abraham Atienza 49, Palencia, 09267",Cantabria,Italia,2024-12-08,Básico,,,,,,,,,0.0,,,,,,,,,
101.0,Vanesa,Roma,yaiza39@example.net,+34971 987 176,"Camino Leocadia Español 17, Jaén, 32290",Badajoz,Italia,2024-05-12,Standard,,,,,,,,,0.0,,,,,,,,,
102.0,Adriana,Garay,vjurado@example.com,+34874 750 933,"Rambla de Rosalía Merino 53, Toledo, 18383",Álava,Finlandia,2024-06-29,Standard,,,,,,,,,0.0,,,,,,,,,
103.0,Flora,Vidal,cecilio10@example.org,+34900 78 45 56,"Plaza de Sigfrido Grau 42 Puerta 8 , Valladolid, 40943",Cuenca,Polonia,2025-06-08,Básico,,,,,,,,,0.0,,,,,,,,,
104.0,Aura,Machado,jerezleoncio@example.net,+34 972655761,"Urbanización Herminia Saura 46, Santa Cruz de Tenerife, 08921",Las Palmas,República Centroafricana,2024-09-08,Standard,,,,,,,,,0.0,,,,,,,,,
105.0,Luna,Sacristán,sancho68@example.org,+34 979 01 58 04,"Callejón Guillermo Carballo 64, Ceuta, 07598",Cádiz,República Checa,2024-12-14,Premium,,,,,,,,,0.0,,,,,,,,,
106.0,Cloe,Arellano,moralope@example.com,+34972136816,"Pasadizo de Valerio Cervantes 75 Piso 0 , Granada, 09218",Pontevedra,República Unida de Tanzanía,2023-08-14,Básico,,,,,,,,,0.0,,,,,,,,,
107.0,Gema,Castillo,renata28@example.net,+34 827 722 052,"Ronda de Isidro Portero 87 Puerta 0 , Baleares, 17771",Ceuta,Omán,2023-10-19,Premium,,,,,,,,,0.0,,,,,,,,,
108.0,Milagros,Tejada,svelez@example.com,+34944 690 242,"Paseo de Jose Manuel Llabrés 53 Puerta 5 , Cádiz, 19495",Zaragoza,Maldivas,2023-12-08,Básico,,,,,,,,,0.0,,,,,,,,,
109.0,Teodosio,Ayuso,lorenzovilma@example.com,+34972 785 605,"Plaza de Manolo Morales 94, Madrid, 16898",Ávila,República Unida de Tanzanía,2023-03-23,Básico,,,,,,,,,0.0,,,,,,,,,
110.0,Geraldo,Goñi,amarilis17@example.net,+34 848308813,"Cañada Alcides Corbacho 9, Segovia, 36135",Ciudad,Maldivas,2022-12-17,Standard,,,,,,,,,0.0,,,,,,,,,
111.0,Marco,Clavero,porterodamian@example.com,+34 826 430 658,"Pasaje Jacinta Crespo 4 Apt. 28 , La Coruña, 15664",La Rioja,Micronesia,2024-03-29,Premium,,,,,,,,,0.0,,,,,,,,,
112.0,María,Gordillo,juan-bautista98@example.com,+34 872828312,"Callejón Julio César Cazorla 703, Álava, 43038",Burgos,Granada,2023-06-09,Standard,,,,,,,,,0.0,,,,,,,,,
113.0,Fabiana,Blanca,carlitoherrero@example.org,+34 926 229 021,"Plaza de Ignacio Vilar 17 Apt. 63 , Murcia, 43188",Segovia,Rwanda,2025-01-08,Premium,,,,,,,,,0.0,,,,,,,,,
114.0,Primitivo,Rivero,agustinarodriguez@example.org,+34 803 760 851,"Pasaje de Eufemia Hernandez 826, Valladolid, 26810",Almería,Ucrania,2022-12-16,Standard,,,,,,,,,0.0,,,,,,,,,
115.0,Berta,Araujo,genoveva78@example.net,+34820 34 89 77,"Paseo Baldomero Ochoa 279, Vizcaya, 39735",Zaragoza,Zimbabwe,2023-06-27,Básico,,,,,,,,,0.0,,,,,,,,,
116.0,Manolo,Escrivá,nuriacazorla@example.org,+34987 861 111,"Calle de Merche Verdejo 13, Huesca, 17163",Baleares,Canadá,2025-04-14,Premium,,,,,,,,,0.0,,,,,,,,,
117.0,Ernesto,Portillo,wsaavedra@example.com,+34942 21 59 62,"Plaza de Agapito Lledó 981 Apt. 57 , Soria, 46042",Segovia,República Unida de Tanzanía,2025-07-17,Premium,,,,,,,,,0.0,,,,,,,,,
118.0,Sandra,Herranz,sabinaruano@example.net,+34 901 01 83 98,"Ronda de Jose Roldán 401, Palencia, 17787",Asturias,Bahrein,2023-12-05,Básico,,,,,,,,,0.0,,,,,,,,,
119.0,Macario,Barrera,marjona@example.org,+34 821 386 102,"Glorieta de Clotilde Gil 3 Piso 7 , Zaragoza, 28813",Palencia,Estados Unidos de América,2025-09-14,Básico,,,,,,,,,0.0,,,,,,,,,
120.0,Severino,Cuadrado,santiagosoria@example.net,+34937 309 211,"Avenida Agapito Sanabria 592, Pontevedra, 21373",Cuenca,Turquía,2024-05-23,Standard,,,,,,,,,0.0,,,,,,,,,
121.0,Aroa,Pinilla,rebecazamora@example.com,+34976 326 179,"Camino Lucía Arellano 6 Apt. 98 , Jaén, 39644",La Rioja,Guyana,2025-03-26,Premium,,,,,,,,,0.0,,,,,,,,,
122.0,Ema,Segovia,nazaretcabello@example.com,+34 706 66 95 81,"C. Norberto Grande 9, Pontevedra, 20196",Salamanca,Malawi,2025-09-28,Standard,,,,,,,,,0.0,,,,,,,,,
123.0,Renato,Iborra,marcosharoldo@example.org,+34918 105 020,"Calle de Ulises Sans 3 Piso 8 , Ávila, 06340",Salamanca,Sudán del Sur,2024-10-31,Premium,,,,,,,,,0.0,,,,,,,,,
124.0,Beatriz,Carrera,salamancacristian@example.net,+34 981 241 397,"Pasaje de Custodio Narváez 69 Piso 1 , Baleares, 41466",Tarragona,Emiratos Árabes Unidos,2025-01-28,Premium,,,,,,,,,0.0,,,,,,,,,
125.0,Asdrubal,Mateo,valledgar@example.net,+34985011641,"Acceso de Onofre Zabala 760 Apt. 69 , Segovia, 18651",Zaragoza,Palau,2023-10-22,Standard,,,,,,,,,0.0,,,,,,,,,
126.0,Ariel,Cortés,maribelcabo@example.com,+34 921159692,"Cañada de Claudio Camacho 286, Castellón, 51128",Lleida,Camerún,2024-09-04,Básico,,,,,,,,,0.0,,,,,,,,,
127.0,Aurelio,Carbajo,morilloangelica@example.org,+34806 707 364,"Pasaje Benjamín Carretero 29 Piso 6 , Lleida, 07545",Asturias,Australia,2025-07-23,Básico,,,,,,,,,0.0,,,,,,,,,
128.0,Bautista,Verdú,cerrolidia@example.net,+34 878121745,"C. de Eutropio Rey 51, Cáceres, 51001",Cuenca,Malasia,2025-05-27,Standard,,,,,,,,,0.0,,,,,,,,,
